date,oil
2016-01-01,33429610.0
2016-02-01,31136826.0
2016-03-01,33207562.0
2016-04-01,30361198.0
2016-05-01,31649337.0
2016-06-01,30083602.0
2016-07-01,30797545.0
2016-08-01,29300844.0
2016-09-01,27612665.0
2016-10-01,30222836.0
2016-11-01,28668241.0
2016-12-01,26449072.0
2017-01-01,28145945.0
2017-02-01,27037967.0
2017-03-01,30236856.0
2017-04-01,29956205.0
2017-05-01,30649706.0
2017-06-01,29089837.0
2017-07-01,30077739.0
2017-08-01,30912806.0
2017-09-01,30295518.0
2017-10-01,33029887.0
2017-11-01,32180257.0
2017-12-01,32776320.0
2018-01-01,33184867.0
2018-02-01,30527529.0
2018-03-01,33414915.0
2018-04-01,34409606.0
2018-05-01,35943309.0
2018-06-01,33792651.0
2018-07-01,35379827.0
2018-08-01,35881569.0
2018-09-01,37203160.0
2018-10-01,39669080.0
2018-11-01,37476718.0
2018-12-01,39715066.0
2019-01-01,40421397.0
2019-02-01,35403169.0
2019-03-01,41012212.0
2019-04-01,39515640.0
2019-05-01,40480683.0
2019-06-01,39834951.0
2019-07-01,40968895.0
2019-08-01,42061174.0
2019-09-01,39721321.0
2019-10-01,42621207.0
2019-11-01,41698939.0
2019-12-01,42325916.0
2020-01-01,41623444.0
2020-02-01,39412947.0
2020-03-01,40675075.0
2020-04-01,33524708.0
2020-05-01,24343399.0
2020-06-01,24851678.0
2020-07-01,30125386.0
2020-08-01,34506576.0
2020-09-01,35068122.0
2020-10-01,36511947.0
2020-11-01,35038807.0
2020-12-01,34864826.0
2021-01-01,33608458.0
2021-02-01,29083459.0
2021-03-01,33357899.0
2021-04-01,32761888.0
2021-05-01,33627940.0
2021-06-01,32378286.0
2021-07-01,31459253.0
2021-08-01,32206523.0
2021-09-01,31171119.0
2021-10-01,32871063.0
2021-11-01,32630544.0
2021-12-01,32984687.0
2022-01-01,31044232.0
2022-02-01,28752851.0
2022-03-01,33431690.0
2022-04-01,26021995.0
2022-05-01,31156949.0
2022-06-01,30809581.0
2022-07-01,30762182.0
2022-08-01,31035929.0
2022-09-01,31348914.0
2022-10-01,32106167.0
2022-11-01,30380337.0
2022-12-01,27763353.0
2023-01-01,31010453.0
2023-02-01,30989715.0
2023-03-01,33273872.0
2023-04-01,32249067.0
2023-05-01,32841445.0
2023-06-01,32215143.0
2023-07-01,33721031.0
2023-08-01,34403635.0
2023-09-01,35175702.0
2023-10-01,35829197.0
2023-11-01,35643836.0
2023-12-01,37139422.0
2024-01-01,32647653.0
2024-02-01,34676757.0
2024-03-01,36462379.0
2024-04-01,35055362.0
2024-05-01,34485407.0
2024-06-01,32540488.0
2024-07-01,33491602.0
2024-08-01,34080642.0
2024-09-01,33150479.0
2024-10-01,33190419.0
2024-11-01,33514569.0
